Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
1.22,0,0.7329239051353004430424775275,0.7329239051353,0.63028484285547,0.7329239051353,0.63028484285547,0,0.000000,0.000000,0,20.338263328530761775613833844,63.228986727157319255487837788,61.212960125363197137069927774,52699170
1.23,0,0.7296115234017709381544757361,0.729611523401771,0.626972461121941,0.729611523401771,0.626972461121941,0,0.000000,0.000000,0,20.293356328530761775613833844,63.221312615799467118213201851,61.201495354959337610247300773,53131130
1.24,0,0.7264495430098163274178154971,0.726449543009816,0.623810480729986,0.726449543009816,0.623810480729986,0,0.000000,0.000000,0,20.249155328530761775613833844,63.213671205992426655893686971,61.190114163450043972965790889,53563090
1.25,0,0.7233963979801423266687005081,0.723396397980142,0.620757335700312,0.723396397980142,0.620757335700312,0,0.000000,0.000000,0,20.205605328530761775613833844,63.206064195408235454449970009,61.17881330722183048073897209,53995050
1.26,0,0.7204284612056641920208180407,0.720428461205664,0.617789398925834,0.720428461205664,0.617789398925834,0,0.000000,0.000000,0,20.166444684972791775613833843,63.187623156642190563703528637,61.158057188548501764004838055,54427010
1.27,0,0.7175360312388824139340515360,0.717536031238882,0.614896968959052,0.717536031238882,0.614896968959052,0,0.00000,0.00000,0,20.127803542408561775613833844,63.169306019494673460697660362,61.137457490157715105133171881,54858970
1.28,0,0.7147132492250672689750696435,0.714713249225067,0.612074186945237,0.714713249225067,0.612074186945237,0,0.000000,0.000000,0,20.089654023161261775613833845,63.151114383778960736200560807,61.117013212721913849632192916,55290930
1.29,0,0.7119560862942809788368599762,0.711956086294281,0.609317024014451,0.711956086294281,0.609317024014451,0,0.000000,0.000000,0,20.051968921066761775613833844,63.133024094755108509290476397,61.096699911238896451419480415,55722890
1.30,0,0.7092613697228562281582740705,0.709261369722856,0.606622307443026,0.709261369722856,0.606622307443026,0,0.000000,0.000000,0,20.014724826772841775613833844,63.115039413527654203402959965,61.076519407127520600642369563,56154850
1.31,0,0.7066270701359429802332036089,0.706627070135943,0.603988007856113,0.706627070135943,0.603988007856113,0,0.000000,0.000000,0,19.977886060009861775613833844,63.097142924871828422082445304,61.056452483831223651810547442,56586810
1.32,0,0.7040509826713614211641725865,0.704050982671361,0.601411920391532,0.704050982671361,0.601411920391532,0,0.000000,0.000000,0,19.941446771184831775613833844,63.079328332006527924067049654,61.036493078321231416309703253,57018770
1.33,0,0.7015317620940288965515675464,0.701531762094029,0.598892699814199,0.701531762094029,0.598892699814199,0,0.000000,0.000000,0,19.905372924448991775613833844,63.061597208351309032837269552,61.016639397059368695681201645,57450730
1.34,0,0.6990678529545006922131790435,0.699067852954501,0.596428790674671,0.699067852954501,0.596428790674671,0,0.000000,0.000000,0,19.869653382359601775613833843,63.043932946137339286484068475,60.996875405365620449843195606,57882690
1.35,0,0.6966583058774576079071943231,0.696658305877458,0.594019243597628,0.696658305877458,0.594019243597628,0,0.000000,0.000000,0,19.834260804285801775613833843,63.026322309732410005491119743,60.977186462170892197248542795,58314650
