Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.97,4,0.4080261713763091341064796065,0.461408781192881,0.45564867845937,0.410021321031695,0.404247152714371,0.720959443127376,0.7509876672347092194464514754,0.5500058815800882194464514754,0.200981785654621,10.757104585099302219018181021,80.34006636348507581921754522,80.34006657237895611740668846,1078294000
12.98,4,0.4080041517698501230151214089,0.461362855641969,0.455611159547328,0.409999193754666,0.404233452604368,0.720619296807173,0.7506457323068438018596905328,0.5497314884743608018596905328,0.200914243832483,10.752206727744853855764626986,80.33379298801778174322574599,80.33379319625574363220479284,1079126000
12.99,4,0.4079821753524903581658890139,0.46131700080176,0.455573692938324,0.409977109877921,0.404219777442034,0.720279540815776,0.7503041904054382524501017732,0.5494573655726332524501017732,0.200846824832805,10.747314500077600081238717123,80.3275075780427782999130543,80.32750778562256844905166638,1079957000
13.00,4,0.4079602244938121394909505273,0.461271201924761,0.455536263938574,0.409955051684834,0.404206109564583,0.719940218228685,0.7499630834760768404959187645,0.5491835549691788404959187645,0.200779528506898,10.742428502923847676242529021,80.32124887766593183244903208,80.32124908459019289764591688,1080788000
13.01,4,0.4079383328011681927715186473,0.46122549081499,0.455498904405605,0.409933052947088,0.404192482797338,0.719601299723918,0.7496223844904723145197392030,0.5489100297843953145197392030,0.200712354706077,10.73754834913188377366418587,80.31500060408263513782760664,80.3150008103519518032359571,1081620000
13.02,4,0.4079164722140134412612961166,0.461179836660548,0.455461583580832,0.40991108546693,0.404178868995991,0.719262748898382,0.7492820549885989571767836920,0.5486367517069439571767836920,0.200645303281655,10.73267348780241818243483366,80.30875791746135704276221517,80.30875812307570785145251302,1082451000
13.03,4,0.4078946551619815026716647516,0.461134251981397,0.455424314037341,0.409889161734771,0.404165280704206,0.718924565734803,0.7489420958302770476293312803,0.5483637217453330476293312803,0.200578374084944,10.727803931251496035442595586,80.30250281531273839895105508,80.30250302026980234021232729,1083283000
13.04,4,0.4078728874282210295359277522,0.461088749668929,0.455387108719451,0.409867287562037,0.404151723786465,0.718586851274754,0.7486026087138993791620474740,0.5480910417466393791620474740,0.20051156696726,10.722941136201245141618617634,80.2962850282942774049463963,80.2962852325980441974137679,1084114000
13.05,4,0.4078511541747553617842797014,0.461043303653157,0.455349941609912,0.409845448038199,0.404138183385105,0.718249446447585,0.7482634331414301398991880974,0.5478185513615161398991880974,0.200444881779914,10.718082803686717281764977399,80.29006871742939991719076069,80.29006892107932761680297448,1084945000
13.06,4,0.4078294606371677620477768477,0.460997934819529,0.455312833646715,0.40982364842444,0.404124664813981,0.717912574503257,0.7479247932795676953756924141,0.5475464749053476953756924141,0.20037831837422,10.713232144659341588769798068,80.28384332359606373271358023,80.28384352659019876377036819,1085777000
13.07,4,0.4078078160372145723979816803,0.460952640019544,0.455275781733715,0.409801897987609,0.404111177392425,0.71757605756674,0.7475865114705974027053443275,0.5472746348691044027053443275,0.200311876601493,10.708386614359747223650271236,80.27764746765805815329400234,80.27764766999943083782360186,1086608000
13.08,4,0.4077862054574756159870878336,0.460907408452056,0.45523877512193,0.409780181737343,0.404097706182365,0.71723995606647,0.7472486472459471283499379937,0.5470030909329021283499379937,0.200245556313045,10.703547065512909615122428888,80.27146256032997046825703097,80.27146276201921078753822495,1087439000
13.09,4,0.4077646385152150015596482250,0.460862250552904,0.455201824299174,0.409758509337932,0.404084260900194,0.716904280694986,0.7469112120036988721650755195,0.5467318546435108721650755195,0.200179357360188,10.698713661384325248160439821,80.26528376837092999000756453,80.26528396940804637964260988,1088271000
13.10,4,0.4077431212511078610356142167,0.460817159201104,0.455164922196253,0.409736886859588,0.40407084766804,0.716568842593784,0.7465740168522791595288507997,0.5464607372580411595288507997,0.200113279594238,10.693883696301477255652427222,80.25908509109553368515835043,80.25908529147726025066206657,1089102000
13.11,4,0.4077216320392000474182102907,0.460772133041997,0.455128067510104,0.409715292570612,0.404057444805927,0.716233933923396,0.7462373531496333575014106156,0.5461900302831263575014106156,0.200047322866507,10.689061343659527446529537086,80.25292238881263311868231546,80.25292258854276909967193934,1089934000
13.12,4,0.4077001969770310202197852893,0.460727187958913,0.455091276175474,0.409693752696155,0.404044078590546,0.715899405869522,0.7459010735555168387989712279,0.5459195865272088387989712279,0.199981487028308,10.684244492964974601593846997,80.24676844975960533055698286,80.24676864883850211944730434,1090765000
13.13,4,0.4076788008308891549768668945,0.460682313850143,0.455054538141881,0.409672251928014,0.404030733765049,0.715565333419445,0.7455652521734624832500057119,0.5456494802425064832500057119,0.199915771930956,10.679434205672737177690457351,80.24062706137664029264971119,80.24062725980511436854915694,1091596000
13.14,4,0.4076574370896855079239732960,0.460637494037958,0.45501783678264,0.409650783723264,0.404017403837677,0.71523157186366,0.7452297434866504408904175013,0.5453795660608864408904175013,0.199850177425764,10.674628397407849687922605339,80.234466766641513642553925,80.23446696441639155092625005,1092428000
13.15,4,0.4076361126021059797256087736,0.460592745574953,0.454981189201203,0.409629354964079,0.404004095741588,0.714898266402055,0.7448946935343452954134751950,0.5451099901703022954134751950,0.199784703364043,10.669829160028815208920277349,80.2283369447926874703064398,80.2283371419170715672129963,1093259000
13.16,4,0.4076148314841466059983241820,0.460548067045287,0.454944594032407,0.409607969786581,0.403990813663703,0.714565337489908,0.7445600228703644193961014496,0.5448406732732564193961014496,0.199719349597108,10.665035355552819577743687774,80.22222379035485294940355532,80.22222398683010776818711962,1094090000
13.17,4,0.4075935787799507476271809075,0.460503442285611,0.454908035163396,0.409586613161783,0.403977542625653,0.714232769426346,0.7442257147081033465691072237,0.5445715987318303465691072237,0.199654115976273,10.660246743529478251237937004,80.21608549465055436630623936,80.2160856904726712767473155,1094922000
13.18,4,0.4075723942893909056470689259,0.460458914826147,0.454871556174704,0.409565325084169,0.403964322672356,0.713900611374648,0.7438918211311082139729163151,0.5443028187782562139729163151,0.199589002352852,10.65546407000064768624812543,80.20998131975819137726050838,80.20998151493076261056214821,1095753000
13.19,4,0.4075512224717011683585939817,0.460414431997887,0.454835104447453,0.409544049741392,0.403951098041718,0.71356891023215,0.7435583852519678515747897981,0.5440343766738118515747897981,0.199524008578156,10.650687952508700691705399041,80.20389072388443934119272393,80.20389091840840237725960204,1096585000
13.20,4,0.4075301038403937143090203582,0.460370027584479,0.45479871381524,0.409522827845067,0.403937909495426,0.713237565499129,0.7432253091758828631917450937,0.5437661746723818631917450937,0.199459134503501,10.645916988813896400497881032,80.19780918065147306239586513,80.19780937452721229221852847,1097416000
13.21,4,0.4075090231478197831520902686,0.460325688774194,0.454762371516111,0.409501644072986,0.403924741761166,0.712906613608701,0.7428926283569908677413744224,0.5434982483767928677413744224,0.199394379980198,10.64115168675940326947067179,80.19170422070769747938904954,80.19170441393139187655491239,1098247000
13.22,4,0.4074879797375510547900506645,0.460281413233943,0.454726075266569,0.409480497765512,0.403911594229015,0.712576030648964,0.7425603187823505986066927309,0.5432305739227895986066927309,0.199329744859561,10.636391702385143783597940107,80.18563755127552571256153987,80.18563774385131848277403981,1099079000
13.23,4,0.4074669896693675731653001401,0.460237218537974,0.454689842690275,0.409459405060953,0.403898483086816,0.712245836587766,0.7422284016005329858057698477,0.5429631726076279858057698477,0.199265228992905,10.631637338622109047638740775,80.17957549707403014009100874,80.17957568900171327168559292,1099910000
13.24,4,0.4074460211431818636709358214,0.460193073361114,0.454653642511294,0.409438334003727,0.403885376428344,0.711916041552873,0.7418968847329348878340759217,0.5426960525013938878340759217,0.199200832231541,10.626888708935949222610265383,80.17349508974291417494583645,80.17349528101930749090709393,1100742000
13.25,4,0.4074250973127282018454589132,0.460149002365576,0.454617499440903,0.409417307860784,0.403872297569733,0.711586664681542,0.7415657889939676829467377159,0.5424292345671836829467377159,0.199136554426784,10.622146111471143765357614324,80.16745393438916291230721175,80.1674541250185224631423242,1101573000
13.26,4,0.4074041986189977661419457240,0.460104985484302,0.454581393460927,0.409396306977478,0.40385922690534,0.711257700758931,0.7412351077850944792961262652,0.5421627123551484792961262652,0.199072395429946,10.617409451710655132725887987,80.16142119196511041187304097,80.16142138194770461919961181,1102404000
